"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"1","AYRES DE MOURA PROFESSOR",35000012,3550308,"estadual",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.96,NA,NA,NA,-23.51227,-46.74971
"2","GAVIAO PEIXOTO BRIGADEIRO",35000024,3550308,"estadual",126,0.75,"finais (6-9)",4.4,251.24,247.59,NA,NA,5.36,0.05,0.29,10.03,-23.40471,-46.75938
"3","JOAO SOLIMEO",35000036,3550308,"estadual",375,0.75,"finais (6-9)",4.8,251.84,254.01,NA,NA,5.49,0.06,0.27,9.66,-23.4694686,-46.6983995
"4","WALFREDO ARANTES CALDAS PROFESSOR",35000048,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.4,NA,NA,NA,-23.464,-46.67971
"5","SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR",35000059,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.44,NA,NA,NA,-23.4383462,-46.7924469
"6","RENATO DE ARRUDA PENTEADO PROFESSOR",35000097,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,4.68,NA,NA,NA,-23.4581327,-46.7022058
"7","MARIANO DE OLIVEIRA PROFESSOR",35000139,3550308,"estadual",76,0.92,"finais (6-9)",5.3,259.23,270.71,NA,NA,5.75,0.04,0.42,10.41,-23.49153,-46.71565
"8","SILVIO XAVIER ANTUNES PROFESSOR",35000140,3550308,"estadual",68,0.83,"finais (6-9)",4.4,252.42,258.82,NA,NA,5.58,0.07,0.34,10.14,-23.5017077,-46.7131588
"9","PIO TELLES PEIXOTO PROFESSOR",35000164,3550308,"estadual",24,0.83,"finais (6-9)",4.8,248.19,249.12,NA,NA,5.67,0.08,0.42,9.5,-23.511597,-46.7487375
"10","ZENAIDE VILALVA DE ARAUJO PROFESSORA",35000176,3550308,"estadual",74,0.83,"finais (6-9)",4.8,244.9,249.7,NA,NA,5.33,0.04,0.31,8,-23.5006627,-46.7122546
"11","ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR",35000188,3550308,"estadual",188,0.75,"finais (6-9)",5.2,262.84,257.2,NA,NA,5.92,0.07,0.36,10.33,-23.5047429,-46.7581958
"12","AGENOR COUTO DE MAGALHAES DOUTOR",35000197,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.6,NA,NA,NA,-23.47151,-46.74658
"13","CANDIDO GONCALVES GOMIDE PROFESSOR",35000224,3550308,"estadual",137,0.83,"finais (6-9)",4.8,258.78,256.39,NA,NA,5.68,0.07,0.24,9.56,-23.48306172,-46.72585765
"14","CLODOMIRO CARNEIRO",35000255,3550308,"estadual",76,0.83,"finais (6-9)",5.1,255.52,271.24,NA,NA,5.44,0.08,0.36,9.71,-23.4713437,-46.7031927
"15","ERMANO MARCHETTI",35000267,3550308,"estadual",111,0.75,"finais (6-9)",4.7,256.19,263.84,NA,NA,6.16,0.06,0.38,11.95,-23.4933081,-46.7298324
"16","HUMBERTO DE SOUZA MELLO GENERAL",35000280,3550308,"estadual",257,0.75,"finais (6-9)",5.2,257.46,262.34,NA,NA,5.7,0.07,0.3,10.06,NA,NA
"17","BENEDITO TOLOSA PROFESSOR",35000309,3550308,"estadual",68,0.83,"finais (6-9)",5,253.71,254.28,NA,NA,5.91,0.01,0.49,11.42,-23.5104708,-46.6577907
"18","PEDRO MONTEIRO DO AMARAL CAPITAO",35000322,3550308,"estadual",74,0.83,"finais (6-9)",5.2,257.83,263.76,NA,NA,5.76,0.05,0.28,10.74,-23.5026864,-46.6506415
"19","MANUEL DA NOBREGA PADRE",35000334,3550308,"estadual",120,0.83,"finais (6-9)",6,281.1,278.72,NA,NA,5.84,0.1,0.45,10.73,-23.5089549,-46.6630694
"20","MATILDE MACEDO SOARES",35000358,3550308,"estadual",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.47,NA,NA,NA,-23.4951189,-46.6673965
"21","ANTONIO JOSE LEITE PROF",35000371,3550308,"estadual",144,0.83,"finais (6-9)",5.1,261.13,268.28,NA,NA,5.43,0.06,0.38,10.19,-23.4703506,-46.655166
"22","ANTOINE DE SAINT EXUPERY",35000383,3550308,"estadual",194,1,"finais (6-9)",5,252.17,259.27,NA,NA,5.76,0.05,0.34,11.1,-23.4909827,-46.6810889
"23","JOAQUIM LUIZ DE BRITO PROFESSOR",35000395,3550308,"estadual",41,0.67,"finais (6-9)",4.4,249.88,232.22,NA,NA,5.87,0.05,0.34,10.88,-23.48751,-46.69238
"24","MARQUES DE TAMANDARE ALMIRANTE",35000401,3550308,"estadual",NA,0.67,"finais (6-9)",NA,NA,NA,NA,NA,5.95,NA,NA,NA,-23.484261,-46.7029114
"25","JOAQUIM SILVADO DOUTOR",35000413,3550308,"estadual",NA,0.75,"finais (6-9)",NA,NA,NA,NA,NA,5.51,NA,NA,NA,-23.47972316,-46.70964749
"26","AUGUSTO RIBEIRO DE CARVALHO PROFESSOR",35000450,3550308,"estadual",144,0.92,"finais (6-9)",5.3,266.56,262.64,NA,NA,6.13,0.05,0.42,11.07,-23.4979561,-46.7037694
"27","AUGUSTO MEIRELLES REIS FILHO PROFESSOR",35000462,3550308,"estadual",77,0.83,"finais (6-9)",4.4,253.11,250.11,NA,NA,5.79,0.05,0.23,10.67,-23.4916621,-46.6513643
"28","LUIZ GONZAGA RIGHINI PROFESSOR",35000498,3550308,"estadual",68,0.83,"finais (6-9)",4.7,238.06,249.8,NA,NA,5.77,0.06,0.28,10.58,-23.4978036,-46.6758798
"29","COLOMBO DE ALMEIDA PROFESSOR",35000528,3550308,"estadual",66,0.75,"finais (6-9)",4.8,248.73,247.8,NA,NA,5.21,0.03,0.27,8.92,-23.4939161,-46.6605849
"30","TARCISIO ALVARES LOBO",35000536,3550308,"estadual",146,0.83,"finais (6-9)",5.2,257.9,261.95,NA,NA,5.78,0.01,0.32,9.97,-23.5026119,-46.6808481
"31","JACOMO STAVALE PROFESSOR",35000553,3550308,"estadual",227,0.75,"finais (6-9)",4.9,252.1,257.33,NA,NA,6.56,0.1,0.36,11.35,-23.4960487,-46.6996174
"32","DULCE FERREIRA BOARIN PROFESSORA",35000577,3550308,"estadual",53,0.83,"finais (6-9)",5.1,249.28,254.47,NA,NA,5.61,0.04,0.32,10.67,-23.4898368,-46.6703778
