"","UF","Capital","area","tipoArea","peso","idad","sexo","raca","nvlMaisElevado","anosEst","posTrab","posOcup","rendOcup","grupPosOcup","ocup","classeOcup1","classeOcup2","ln_rendOcup"
"1",11,11,1,1,156.52116685,45,"F","Preta",4,10,1,1,1410,1,5120,6,5,7.25134498337221
"10",11,11,1,1,167.98615866,50,"M","Parda ",7,16,1,1,3500,7,2131,8,2,8.1605182474775
"12",11,11,1,1,167.98615866,20,"M","Parda ",5,12,1,1,1200,2,5223,4,5,7.09007683577609
"14",11,11,1,1,122.29889553,45,"M","Parda ",3,9,1,1,2500,9,5221,4,5,7.82404601085629
"15",11,11,1,1,122.29889553,45,"F","Branca",7,16,1,1,2500,1,5223,4,5,7.82404601085629
"20",11,11,1,1,167.57138771,23,"M","Parda ",5,12,1,1,1800,1,9334,4,9,7.49554194388426
"22",11,11,1,1,145.31010633,36,"M","Parda ",6,14,1,1,2400,1,5223,4,5,7.78322401633604
"25",11,11,1,1,135.43572418,19,"M","Parda ",5,12,1,1,1200,1,4226,4,4,7.09007683577609
"26",11,11,1,1,135.43572418,39,"F","Parda ",7,16,1,1,1500,7,5153,8,5,7.3132203870903
"29",11,11,1,1,118.08495958,57,"F","Parda ",5,12,1,1,1400,7,5153,8,5,7.24422751560335
"34",11,11,1,1,132.090625,45,"M","Parda ",4,11,1,1,1500,1,4416,7,4,7.3132203870903
"36",11,11,1,1,132.090625,23,"F","Parda ",5,12,1,1,1100,1,4120,4,4,7.00306545878646
"37",11,11,1,1,138.98714477,36,"M","Parda ",5,12,1,1,4000,9,7112,3,7,8.29404964010203
"38",11,11,1,1,138.98714477,42,"F","Parda ",7,16,1,1,2000,7,2341,9,2,7.60090245954208
"40",11,11,1,1,138.98714477,19,"M","Parda ",5,12,1,1,1200,9,9313,3,9,7.09007683577609
"41",11,11,1,1,114.03864123,53,"F","Branca",5,12,1,1,1600,1,3322,4,3,7.37775890822787
"42",11,11,1,1,114.03864123,29,"F","Branca",7,16,1,1,2400,1,2411,7,2,7.78322401633604
"43",11,11,1,1,116.94564542,56,"F","Parda ",4,11,1,1,750,9,5212,6,5,6.62007320653036
"44",11,11,1,1,116.94564542,35,"F","Parda ",7,16,1,1,1100,1,4226,2,4,7.00306545878646
"47",11,11,1,1,2120.2580968,35,"F","Branca",7,16,1,1,10000,5,2619,8,2,9.21034037197618
"48",11,11,1,1,2120.2580968,33,"M","Branca",7,16,1,1,4000,5,2619,8,2,8.29404964010203
"50",11,11,1,1,177.2932112,19,"F","Branca",5,12,1,1,2000,1,5223,4,5,7.60090245954208
"51",11,11,1,1,208.19044433,63,"M","Branca",2,5,1,1,6000,9,8332,5,8,8.69951474821019
"53",11,11,1,1,208.19044433,24,"M","Parda ",5,12,1,1,1212,1,3521,7,3,7.10002716662926
"57",11,11,1,1,207.7748233,42,"M","Parda ",2,5,1,1,1400,1,5223,4,5,7.24422751560335
"58",11,11,1,1,207.7748233,27,"M","Parda ",2,6,1,1,1212,1,7513,2,7,7.10002716662926
"60",11,11,1,1,199.68563054,42,"M","Parda ",7,16,1,1,3000,2,5223,2,5,8.00636756765025
"63",11,11,1,1,252.45653211,30,"M","Preta",1,0,1,1,3200,1,7231,4,7,8.07090608878782
"64",11,11,1,1,252.45653211,32,"F","Preta",6,16,1,1,2500,1,4110,7,4,7.82404601085629
"70",11,11,1,1,143.60168424,66,"M","Parda ",2,5,1,1,1212,9,6111,1,6,7.10002716662926
"71",11,11,1,1,143.60168424,56,"F","Parda ",2,3,1,1,1212,9,6111,1,6,7.10002716662926
"72",11,11,1,1,244.62467243,35,"F","Parda ",4,11,1,1,200,9,5243,4,5,5.29831736654804
"73",11,11,1,1,244.62467243,39,"M","Parda ",7,16,1,1,10002,9,2636,10,2,9.21054035197885
"77",11,11,1,1,166.45055666,40,"M","Parda ",5,12,1,1,1800,1,7231,4,7,7.49554194388426
"81",11,11,1,1,216.01601393,33,"M","Parda ",5,12,1,1,2800,1,5414,7,5,7.9373746961633
